name,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,duration,rating,score,ranked,popularity,favorites
Sousou no Frieren,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",Fall 2023,Fridays at 23:00 (JST),"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Nippon Television Network', 'TOHO animation', 'Shogakukan']",['add some'],Madhouse,Manga,"['Adventure', 'Drama', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,9.36,#1,#259,"43,524"
Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,Wednesdays at 02:05 (JST),"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['Funimation'],White Fox,,"['Drama', 'Sci-Fi', 'Suspense']",24 min. per ep.,PG-13 - Teens 13 or older,9.07,#3,#13,"189,803"
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']","['Funimation', 'Aniplex of America']",Bones,Manga,"['Action', 'Adventure', 'Drama', 'Fantasy']",24 min. per ep.,R - 17+ (violence & profanity),9.09,#2,#3,"226,283"
Gintama°,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,Wednesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu']","['Funimation', 'Crunchyroll']",Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,9.06,#4,#343,"16,685"
Shingeki no Kyojin Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",['Funimation'],Wit Studio,Manga,"['Action', 'Drama', 'Suspense']",23 min. per ep.,R - 17+ (violence & profanity),9.05,#5,#21,"58,822"
Gintama: The Final,Movie,1,Finished Airing,"Jan 8, 2021",,,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']",['Eleven Arts'],Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",1 hr. 44 min.,PG-13 - Teens 13 or older,9.04,#6,#1531,"4,287"
Gintama',TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,Mondays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha']",['add some'],Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,9.03,#7,#394,"8,160"
Hunter x Hunter (2011),TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"['VAP', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],Madhouse,Manga,"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,9.03,#8,#9,"211,007"
Ginga Eiyuu Densetsu,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,,"['TV Tokyo', 'Kitty Films', 'Tokuma Shoten', 'Tokuma Japan Communications', 'Wright Staff']",['Sentai Filmworks'],K-Factory,,"['Drama', 'Sci-Fi']",26 min. per ep.,R - 17+ (violence & profanity),9.02,#9,#744,"16,320"
Gintama': Enchousen,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']",['add some'],Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,9.02,#10,#739,"3,053"
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,Saturdays at 00:00 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",['Aniplex of America'],A-1 Pictures,Manga,"['Comedy', 'Romance']",23 min. per ep.,PG-13 - Teens 13 or older,9.01,#12,#175,"31,302"
Bleach: Sennen Kessen-hen,TV,13,Finished Airing,"Oct 11, 2022 to Dec 27, 2022",Fall 2022,Tuesdays at 00:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['VIZ Media'],Pierrot,Manga,"['Action', 'Adventure', 'Fantasy']",24 min. per ep.,R - 17+ (violence & profanity),9.01,#11,#406,"20,602"
Fruits Basket: The Final,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 01:30 (JST),"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']",['Funimation'],TMS Entertainment,Manga,"['Drama', 'Romance', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,8.98,#13,#469,"20,097"
Gintama,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,8.94,#15,#141,"59,371"
Clannad: After Story,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Fridays at 01:59 (JST),"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",['Sentai Filmworks'],Kyoto Animation,,"['Drama', 'Romance', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,8.93,#16,#118,"70,283"
3-gatsu no Lion 2nd Season,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,Saturdays at 23:00 (JST),"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]",['Aniplex of America'],Shaft,Manga,[],25 min. per ep.,PG-13 - Teens 13 or older,8.92,#18,#568,"15,066"
Gintama.,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,Mondays at 01:35 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['add some'],Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,8.98,#14,#762,"2,728"
Code Geass: Hangyaku no Lelouch R2,TV,25,Finished Airing,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,Sundays at 17:00 (JST),"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","['Funimation', 'Bandai Entertainment']",Sunrise,,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",24 min. per ep.,R - 17+ (violence & profanity),8.91,#19,#47,"76,787"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Finished Airing,"Jul 6, 2013",,,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']",['add some'],Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",1 hr. 50 min.,PG-13 - Teens 13 or older,8.9,#21,#1008,"2,120"
Kusuriya no Hitorigoto,TV,24,Finished Airing,"Oct 22, 2023 to Mar 24, 2024",Fall 2023,Sundays at 01:05 (JST),"['Dentsu', 'Square Enix', 'Nippon Television Network', 'TOHO animation', 'Shogakukan', 'Imagica Infos']",['add some'],OLM,Light novel,"['Drama', 'Mystery']",22 min. per ep.,PG-13 - Teens 13 or older,8.91,#20,#563,"10,879"
Koe no Katachi,Movie,1,Finished Airing,"Sep 17, 2016",,,"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']","['Eleven Arts', 'NYAV Post']",Kyoto Animation,Manga,"['Award Winning', 'Drama']",2 hr. 10 min.,PG-13 - Teens 13 or older,8.93,#17,#20,"88,134"
Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV Special,2,Finished Airing,"Mar 4, 2023 to Nov 5, 2023",,,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",['add some'],MAPPA,Manga,"['Action', 'Drama', 'Suspense']",1 hr. 12 min. per ep.,R - 17+ (violence & profanity),8.89,#22,#322,"15,438"
Monster,TV,74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,Wednesdays at 00:40 (JST),"['VAP', 'Shogakukan-Shueisha Productions', 'Nippon Television Network']",['VIZ Media'],Madhouse,Manga,"['Drama', 'Mystery', 'Suspense']",24 min. per ep.,R+ - Mild Nudity,8.88,#23,#131,"53,099"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,Finished Airing,"Jul 9, 2018 to Oct 8, 2018",Summer 2018,Mondays at 01:35 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['add some'],Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,8.88,#24,#1214,"1,046"
Owarimonogatari 2nd Season,TV Special,7,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",,,"['Aniplex', 'Kodansha']",['Aniplex of America'],Shaft,Light novel,"['Comedy', 'Mystery', 'Supernatural']",22 min. per ep.,R - 17+ (violence & profanity),8.87,#26,#575,"8,660"
Violet Evergarden Movie,Movie,1,Finished Airing,"Sep 18, 2020",,,"['Shochiku', 'ABC Animation']",['Funimation'],Kyoto Animation,Light novel,"['Award Winning', 'Drama', 'Fantasy']",2 hr. 20 min.,PG-13 - Teens 13 or older,8.87,#25,#355,"8,810"
Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13,Finished Airing,"Jan 7, 2024 to Mar 31, 2024",Winter 2024,Sundays at 01:30 (JST),"['Dentsu', 'TV Asahi', 'Movic', 'Magic Capsule', 'Avex Pictures', 'Akita Shoten', 'BS Asahi', 'TV Asahi Music']",['Sentai Filmworks'],Shin-Ei Animation,Manga,"['Comedy', 'Romance']",23 min. per ep.,PG-13 - Teens 13 or older,8.85,#27,#1334,"4,088"
Kimi no Na wa.,Movie,1,Finished Airing,"Aug 26, 2016",,,"['TOHO', 'Sound Team Don Juan', 'Lawson HMV Entertainment', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting']","['Funimation', 'NYAV Post']",CoMix Wave Films,,"['Award Winning', 'Drama', 'Supernatural']",1 hr. 46 min.,PG-13 - Teens 13 or older,8.84,#28,#11,"90,635"
Kingdom 3rd Season,TV,26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",Spring 2020,Mondays at 00:10 (JST),['Shueisha'],['Funimation'],Pierrot,Manga,[],25 min. per ep.,R - 17+ (violence & profanity),8.82,#30,#2031,"2,146"
Jujutsu Kaisen 2nd Season,TV,23,Finished Airing,"Jul 6, 2023 to Dec 28, 2023",Summer 2023,Thursdays at 23:56 (JST),"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']",['add some'],MAPPA,Manga,"['Action', 'Fantasy']",23 min. per ep.,R - 17+ (violence & profanity),8.83,#29,#169,"21,478"
Gintama.: Shirogane no Tamashii-hen,TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,Mondays at 01:35 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['add some'],Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,8.81,#31,#1144,"1,177"
Vinland Saga Season 2,TV,24,Finished Airing,"Jan 10, 2023 to Jun 20, 2023",Winter 2023,Tuesdays at 00:30 (JST),"['Dentsu', 'Kodansha', 'Twin Engine']",['add some'],MAPPA,Manga,"['Action', 'Adventure', 'Drama']",25 min. per ep.,R - 17+ (violence & profanity),8.81,#32,#352,"14,538"
Shingeki no Kyojin: The Final Season,TV,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",['Funimation'],MAPPA,Manga,"['Action', 'Drama', 'Suspense']",23 min. per ep.,R - 17+ (violence & profanity),8.79,#33,#35,"52,284"
Mob Psycho 100 II,TV,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",Winter 2019,Mondays at 23:00 (JST),"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",['Funimation'],Bones,Web manga,"['Action', 'Comedy', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,8.79,#34,#72,"32,467"
Kizumonogatari III: Reiketsu-hen,Movie,1,Finished Airing,"Jan 6, 2017",,,"['Aniplex', 'Kodansha']",['Aniplex of America'],Shaft,Light novel,"['Action', 'Mystery', 'Supernatural']",1 hr. 23 min.,R - 17+ (violence & profanity),8.78,#35,#489,"7,557"
Bocchi the Rock!,TV,12,Finished Airing,"Oct 9, 2022 to Dec 25, 2022",Fall 2022,Sundays at 00:00 (JST),"['Aniplex', 'Houbunsha']",['Crunchyroll'],CloverWorks,4-koma manga,[],23 min. per ep.,PG-13 - Teens 13 or older,8.78,#36,#380,"28,122"
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",Fall 2016,Saturdays at 01:55 (JST),"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Sentai Filmworks'],Production I.G,Manga,[],24 min. per ep.,PG-13 - Teens 13 or older,8.78,#37,#117,"15,535"
Hajime no Ippo,TV,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",Fall 2000,Tuesdays at 00:50 (JST),['VAP'],"['Discotek Media', 'Geneon Entertainment USA']",Madhouse,Manga,[],23 min. per ep.,PG-13 - Teens 13 or older,8.77,#38,#366,"22,247"
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,Finished Airing,"Dec 17, 2022",,,"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications']",['Aniplex of America'],A-1 Pictures,Manga,"['Comedy', 'Drama', 'Romance']",1 hr. 36 min.,PG-13 - Teens 13 or older,8.77,#39,#912,"1,892"
Sen to Chihiro no Kamikakushi,Movie,1,Finished Airing,"Jul 20, 2001",,,"['Dentsu', 'TOHO', 'Tokuma Shoten', 'Tohokushinsha Film Corporation', 'Nippon Television Network', 'Mitsubishi']","['Disney Platform Distribution', 'GKIDS']",Studio Ghibli,,"['Adventure', 'Award Winning', 'Supernatural']",2 hr. 4 min.,PG - Children,8.77,#40,#44,"32,938"
Monogatari Series: Second Season,TV,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,Sundays at 00:00 (JST),"['Aniplex', 'Kodansha', 'Cyclone Graphics']",['Aniplex of America'],Shaft,Light novel,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",25 min. per ep.,R - 17+ (violence & profanity),8.76,#41,#307,"23,442"
Shingeki no Kyojin: The Final Season Part 2,TV,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,Mondays at 00:05 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",['Funimation'],MAPPA,Manga,"['Action', 'Drama', 'Suspense']",23 min. per ep.,R - 17+ (violence & profanity),8.76,#42,#102,"30,259"
Shiguang Dailiren,ONA,11,Finished Airing,"Apr 30, 2021 to Jul 9, 2021",,,"['bilibili', 'BeDream']",['Funimation'],LAN Studio,,"['Drama', 'Mystery', 'Supernatural', 'Suspense']",23 min. per ep.,PG-13 - Teens 13 or older,8.74,#49,#639,"11,717"
Mushishi Zoku Shou 2nd Season,TV,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,Sundays at 00:30 (JST),"['Aniplex', 'Kodansha', 'Delfi Sound']",['Aniplex of America'],Artland,Manga,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,8.73,#50,#914,"1,491"
Kingdom 5th Season,TV,13,Finished Airing,"Jan 14, 2024 to Mar 31, 2024",Winter 2024,Sundays at 00:00 (JST),"['Avex Pictures', 'Shueisha', 'Jinnan Studio', 'NHK Enterprises']",['add some'],Pierrot,Manga,[],24 min. per ep.,R - 17+ (violence & profanity),8.74,#48,#3771,433
Kimetsu no Yaiba: Yuukaku-hen,TV,11,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",Winter 2022,Sundays at 23:15 (JST),"['Aniplex', 'Shueisha']","['Aniplex of America', 'Crunchyroll']",ufotable,Manga,"['Action', 'Fantasy']",26 min. per ep.,R - 17+ (violence & profanity),8.75,#45,#84,"24,386"
Vinland Saga,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine']",['Sentai Filmworks'],Wit Studio,Manga,"['Action', 'Adventure', 'Drama']",24 min. per ep.,R - 17+ (violence & profanity),8.75,#46,#75,"47,891"
Kingdom 4th Season,TV,26,Finished Airing,"Apr 10, 2022 to Oct 2, 2022",Spring 2022,Sundays at 00:00 (JST),"['Avex Pictures', 'Shueisha', 'NHK Enterprises']",['add some'],Pierrot,Manga,[],24 min. per ep.,R - 17+ (violence & profanity),8.74,#47,#2717,"1,057"
The First Slam Dunk,Movie,1,Finished Airing,"Dec 3, 2022",,,['Shueisha'],['GKIDS'],Toei Animation,Manga,"['Award Winning', 'Sports']",2 hr. 4 min.,PG-13 - Teens 13 or older,8.76,#43,#3333,606
Cowboy Bebop,TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Saturdays at 01:00 (JST),['Bandai Visual'],['Funimation'],Sunrise,,"['Action', 'Award Winning', 'Sci-Fi']",24 min. per ep.,R - 17+ (violence & profanity),8.75,#44,#43,"82,629"
One Piece,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",Toei Animation,Manga,"['Action', 'Adventure', 'Fantasy']",24 min.,PG-13 - Teens 13 or older,8.72,#51,#19,"222,194"
Ashita no Joe 2,TV,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Fall 1980,Unknown,['Annapuru'],['add some'],Tokyo Movie Shinsha,Manga,"['Drama', 'Sports']",24 min. per ep.,PG-13 - Teens 13 or older,8.72,#52,#3048,"2,711"
Haikyuu!! Movie: Gomisuteba no Kessen,Movie,1,Finished Airing,"Feb 16, 2024",,,"['TOHO animation', 'Shueisha']",['add some'],Production I.G,Manga,[],1 hr. 25 min.,PG-13 - Teens 13 or older,8.72,#53,#1893,987
Mob Psycho 100 III,TV,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022",Fall 2022,Thursdays at 00:00 (JST),"['Shogakukan-Shueisha Productions', 'Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",['add some'],Bones,Web manga,"['Action', 'Comedy', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,8.71,#54,#297,"10,367"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,Saturdays at 02:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'DAX Production', 'King Records']",['add some'],Studio Deen,Manga,[],24 min. per ep.,PG-13 - Teens 13 or older,8.71,#55,#1277,"3,158"
86 Part 2,TV,12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022",Fall 2021,Sundays at 00:00 (JST),"['Aniplex', 'Kadokawa', 'Bandai Spirits']",['add some'],A-1 Pictures,Light novel,"['Action', 'Drama', 'Sci-Fi']",23 min. per ep.,R - 17+ (violence & profanity),8.7,#56,#445,"15,119"
Code Geass: Hangyaku no Lelouch,TV,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007",Fall 2006,Fridays at 01:25 (JST),"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","['Funimation', 'Bandai Entertainment']",Sunrise,,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",24 min. per ep.,R - 17+ (violence & profanity),8.7,#57,#22,"108,946"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",,,['Aniplex'],"['ADV Films', 'Aniplex of America']",Studio Deen,Manga,"['Action', 'Drama', 'Romance']",29 min. per ep.,R - 17+ (violence & profanity),8.7,#58,#884,"6,275"
Mo Dao Zu Shi: Wanjie Pian,ONA,12,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",,,['Tencent Penguin Pictures'],['add some'],B.CMAY PICTURES,,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",24 min. per ep.,R - 17+ (violence & profanity),8.69,#59,#2387,"1,618"
Mushishi Zoku Shou,TV,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014",Spring 2014,Saturdays at 00:00 (JST),"['Aniplex', 'Kodansha', 'Delfi Sound']",['Aniplex of America'],Artland,Manga,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,8.69,#60,#805,"1,575"
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV,13,Finished Airing,"Jul 8, 2023 to Sep 30, 2023",Summer 2023,Saturdays at 23:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Zack Promotion']",['VIZ Media'],Pierrot,Manga,"['Action', 'Adventure', 'Fantasy']",24 min. per ep.,R - 17+ (violence & profanity),8.69,#61,#889,"4,174"
Great Teacher Onizuka,TV,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",Summer 1999,Wednesdays at 19:30 (JST),"['Aniplex', 'Fuji TV']","['Discotek Media', 'Tokyopop']",Pierrot,Manga,[],25 min. per ep.,R - 17+ (violence & profanity),8.69,#62,#217,"26,565"
Tian Guan Cifu Er,ONA,12,Finished Airing,"Oct 18, 2023 to Jan 17, 2024",,,['bilibili'],['add some'],Red Dog Culture House,,"['Action', 'Adventure', 'Drama', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,8.68,#63,#3328,"1,012"
Violet Evergarden,TV,13,Finished Airing,"Jan 11, 2018 to Apr 5, 2018",Winter 2018,Thursdays at 00:00 (JST),"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation']",['Funimation'],Kyoto Animation,Light novel,"['Drama', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,8.68,#64,#46,"62,023"
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021",Fall 2021,Mondays at 00:00 (JST),"['Frontier Works', 'TOHO', 'TOHO animation', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'BS11', 'Egg Firm', 'Kadokawa', 'GREE Entertainment']",['Funimation'],Studio Bind,Light novel,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']",23 min. per ep.,R - 17+ (violence & profanity),8.67,#66,#181,"18,626"
Hajime no Ippo: New Challenger,TV,26,Finished Airing,"Jan 7, 2009 to Jul 1, 2009",Winter 2009,Wednesdays at 01:29 (JST),"['VAP', 'Kodansha', 'Nippon Television Network']",['add some'],Madhouse,Manga,[],23 min. per ep.,PG-13 - Teens 13 or older,8.67,#65,#850,"1,810"
Mushishi,TV,26,Finished Airing,"Oct 23, 2005 to Jun 19, 2006",Fall 2005,Sundays at 03:40 (JST),"['Avex Entertainment', 'Marvelous Entertainment', 'SKY Perfect Well Think', 'Delfi Sound']",['Funimation'],Artland,Manga,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,8.66,#68,#215,"26,950"
Mononoke Hime,Movie,1,Finished Airing,"Jul 12, 1997",,,"['Tokuma Shoten', 'Nippon Television Network']",['GKIDS'],Studio Ghibli,,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",2 hr. 13 min.,PG-13 - Teens 13 or older,8.66,#67,#105,"22,054"
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,Finished Airing,"Aug 15, 2020",,,"['Aniplex', 'Notes', 'Kadokawa']",['Aniplex of America'],ufotable,,"['Action', 'Fantasy', 'Supernatural']",2 hr. 2 min.,R - 17+ (violence & profanity),8.66,#70,#674,"8,074"
Odd Taxi,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 02:00 (JST),"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'AT-X', 'Crunchyroll', 'Pony Canyon Enterprises', 'Yoshimoto Kogyo']",['add some'],OLM,,"['Award Winning', 'Drama', 'Mystery', 'Suspense']",23 min. per ep.,PG-13 - Teens 13 or older,8.66,#69,#525,"8,282"
Howl no Ugoku Shiro,Movie,1,Finished Airing,"Nov 20, 2004",,,"['d-rights', 'Tokuma Shoten']",['Disney Platform Distribution'],Studio Ghibli,,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",1 hr. 59 min.,G - All Ages,8.66,#71,#99,"29,158"
"""Oshi no Ko""",TV,11,Finished Airing,"Apr 12, 2023 to Jun 28, 2023",Spring 2023,Wednesdays at 23:00 (JST),"['Shueisha', 'CyberAgent', 'Kadokawa']",['Sentai Filmworks'],Doga Kobo,Manga,"['Award Winning', 'Drama', 'Supernatural']",30 min. per ep.,PG-13 - Teens 13 or older,8.65,#72,#239,"27,684"
Made in Abyss,TV,13,Finished Airing,"Jul 7, 2017 to Sep 29, 2017",Summer 2017,Fridays at 21:30 (JST),"['AT-X', 'Takeshobo', 'Sony Music Communications', 'Kadokawa Media House', 'Cygames', 'Kanetsu Investment', 'Kadokawa', 'Global Solutions', 'IRMA LA DOUCE']",['Sentai Filmworks'],Kinema Citrus,Web manga,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",25 min. per ep.,R - 17+ (violence & profanity),8.65,#74,#94,"44,342"
Bungou Stray Dogs 5th Season,TV,11,Finished Airing,"Jul 12, 2023 to Sep 20, 2023",Summer 2023,Wednesdays at 23:00 (JST),"['WOWOW', 'Lantis', 'Movic', 'Glovision', 'Crunchyroll', 'Sunrise Music', 'Kadokawa', 'Sony Music Solutions', 'Bandai Namco Music Live']",['add some'],Bones,Manga,"['Action', 'Mystery', 'Supernatural']",23 min. per ep.,R - 17+ (violence & profanity),8.65,#73,#1313,"2,260"
