name,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,duration,rating,score,ranked,popularity,favorites
Tetsuwan Birdy Decode:02,TV,12,Finished Airing,"Jan 10, 2009 to Mar 28, 2009",Winter 2009,Saturdays at 02:10 (JST),"['Aniplex', 'Shogakukan']",['Funimation'],A-1 Pictures,Manga,"['Action', 'Comedy', 'Sci-Fi']",23 min. per ep.,R - 17+ (violence & profanity),7.71,#1221,#3056,261
Tenshi no Tamago,OVA,1,Finished Airing,"Dec 22, 1985",,,['Tokuma Shoten'],"['Anchor Bay Films', 'GKIDS']",Studio Deen,,"['Avant Garde', 'Drama', 'Fantasy']",1 hr. 11 min.,PG-13 - Teens 13 or older,7.71,#1220,#1511,"3,501"
School Rumble: Ichi Gakki Hoshuu,OVA,2,Finished Airing,"Dec 22, 2005",,,['Studio Jack'],['Funimation'],Studio Comet,Manga,"['Comedy', 'Romance']",25 min. per ep.,PG-13 - Teens 13 or older,7.71,#1219,#2855,106
Rozen Maiden: Ouvertüre,TV Special,2,Finished Airing,"Dec 23, 2006 to Dec 24, 2006",,,['Mellow Head'],['Sentai Filmworks'],Nomad,Manga,"['Action', 'Comedy', 'Drama', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,7.71,#1218,#2819,216
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,TV Special,1,Finished Airing,"Aug 22, 2015",,,['Fuji TV'],['Funimation'],Toei Animation,Manga,"['Action', 'Adventure', 'Fantasy']",1 hr. 46 min.,PG-13 - Teens 13 or older,7.71,#1216,#3508,32
Ojamajo Doremi Dokkaan!,TV,51,Finished Airing,"Feb 3, 2002 to Jan 26, 2003",Winter 2002,Unknown,['Asahi Broadcasting'],['add some'],Toei Animation,,"['Comedy', 'Fantasy']",24 min. per ep.,G - All Ages,7.71,#1215,#5108,284
Noragami OVA,OVA,2,Finished Airing,"Feb 17, 2014 to Jul 17, 2014",,,"['Avex Entertainment', 'Ai Addiction']",['add some'],Bones,Manga,"['Comedy', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,7.71,#1214,#740,393
Macross Plus,OVA,4,Finished Airing,"Aug 25, 1994 to Jun 25, 1995",,,"['Bandai Visual', 'Shogakukan-Shueisha Productions', 'Mainichi Broadcasting System', 'Studio Nue', 'Big West']",['Manga Entertainment'],Triangle Staff,,"['Action', 'Drama', 'Romance', 'Sci-Fi']",39 min. per ep.,R - 17+ (violence & profanity),7.71,#1213,#3166,449
Joshikousei no Mudazukai,TV,12,Finished Airing,"Jul 5, 2019 to Sep 20, 2019",Summer 2019,Fridays at 21:30 (JST),"['AT-X', 'Kadokawa Media House', 'Kadokawa']",['Sentai Filmworks'],Passione,Web manga,[],24 min. per ep.,PG-13 - Teens 13 or older,7.71,#1210,#1798,701
Fanren Xiu Xian Chuan: Xinghai Feichi Pian Xuzhang,ONA,4,Finished Airing,"Jul 30, 2023 to Aug 20, 2023",,,['bilibili'],['add some'],Original Force,,"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1207,#12917,7
Enen no Shouboutai,TV,24,Finished Airing,"Jul 6, 2019 to Dec 28, 2019",Summer 2019,Saturdays at 01:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'bilibili', 'DMM pictures', 'DMM Music']",['Funimation'],David Production,Manga,"['Action', 'Fantasy', 'Sci-Fi']",23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1206,#98,"9,523"
Death Note: Rewrite,TV Special,2,Finished Airing,"Aug 31, 2007 to Aug 22, 2008",,,['Shueisha'],['VIZ Media'],Madhouse,Manga,"['Supernatural', 'Suspense']",1 hr. 52 min. per ep.,R - 17+ (violence & profanity),7.71,#1205,#1172,717
Daicon Opening Animations,Special,2,Finished Airing,"Aug 22, 1981 to Aug 20, 1983",,,['add some'],['add some'],Gainax,,"['Action', 'Adventure', 'Sci-Fi']",5 min. per ep.,PG - Children,7.71,#1204,#4753,194
"Yuru Yuri,",OVA,1,Finished Airing,"Sep 18, 2019",,,['Sotsu'],['add some'],Lay-duce,Manga,"['Comedy', 'Girls Love']",31 min.,PG-13 - Teens 13 or older,7.69,#1258,#3938,57
Bakuten!! Movie,Movie,1,Finished Airing,"Jul 2, 2022",,,"['Aniplex', 'Dentsu', 'Animax', 'Movic', 'Fuji TV', 'BS Fuji', 'Aeon Entertainment']",['add some'],Zexcs,,[],1 hr. 30 min.,PG-13 - Teens 13 or older,7.69,#1260,#4970,119
Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,Movie,1,Finished Airing,"Dec 4, 1994",,,['Kodansha'],"['VIZ Media', 'Geneon Entertainment USA']",Toei Animation,Manga,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",1 hr.,PG-13 - Teens 13 or older,7.69,#1261,#2980,119
Doraemon (2005),TV,Unknown,Currently Airing,"Apr 22, 2005 to ?",Spring 2005,Fridays at 19:00 (JST),['TV Asahi'],['add some'],Shin-Ei Animation,Manga,"['Comedy', 'Sci-Fi']",25 min.,PG - Children,7.69,#1264,#4881,222
Hanasakeru Seishounen,TV,39,Finished Airing,"Apr 5, 2009 to Feb 14, 2010",Spring 2009,Sundays at 23:01 (JST),"['NHK', 'Sogo Vision']",['Discotek Media'],Pierrot,Manga,"['Drama', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.69,#1269,#2624,602
Ichigo Mashimaro Encore,OVA,2,Finished Airing,"Jan 23, 2009 to Mar 25, 2009",,,['add some'],['Sentai Filmworks'],Daume,4-koma manga,"['Comedy', 'Slice of Life']",27 min. per ep.,PG-13 - Teens 13 or older,7.68,#1274,#4503,18
Kakushigoto Movie,Movie,1,Finished Airing,"Jul 9, 2021",,,['Studio Mausu'],['add some'],Ajia-do,Manga,[],1 hr. 18 min.,PG-13 - Teens 13 or older,7.68,#1276,#3479,152
Koutetsujou no Kabaneri Movie 3: Unato Kessen,Movie,1,Finished Airing,"May 10, 2019",,,"['Aniplex', 'Dentsu', 'Fuji TV', 'Kansai Telecasting']",['add some'],Wit Studio,,"['Action', 'Fantasy', 'Horror', 'Suspense']",1 hr. 22 min.,R - 17+ (violence & profanity),7.68,#1280,#1689,259
Overlord Movie 2: Shikkoku no Eiyuu,Movie,1,Finished Airing,"Mar 11, 2017",,,['add some'],['add some'],Madhouse,Light novel,"['Action', 'Fantasy']",1 hr. 33 min.,R - 17+ (violence & profanity),7.68,#1283,#2362,160
Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,Movie,1,Finished Airing,"Oct 22, 2022",,,['Aniplex'],['Aniplex of America'],A-1 Pictures,Light novel,"['Action', 'Adventure', 'Fantasy', 'Romance']",1 hr. 40 min.,PG-13 - Teens 13 or older,7.68,#1287,#1888,459
Tsurune: Kazemai Koukou Kyuudou-bu,TV,13,Finished Airing,"Oct 22, 2018 to Jan 21, 2019",Fall 2018,Mondays at 00:10 (JST),"['Lantis', 'Pony Canyon', 'Rakuonsha', 'Bandai Namco Arts']","['Sentai Filmworks', 'Ponycan USA']",Kyoto Animation,Light novel,[],24 min. per ep.,PG-13 - Teens 13 or older,7.67,#1293,#1455,"1,200"
3D Kanojo: Real Girl 2nd Season,TV,12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",Winter 2019,Wednesdays at 01:59 (JST),"['VAP', 'Docomo Anime Store', 'DeNA', 'D.N. Dream Partners']",['Sentai Filmworks'],Hoods Entertainment,Manga,[],22 min. per ep.,PG-13 - Teens 13 or older,7.67,#1295,#1261,"1,201"
Chi's Sweet Home,TV,104,Finished Airing,"Mar 31, 2008 to Sep 25, 2008",Spring 2008,Not scheduled once per week,"['TV Tokyo', 'Hakuhodo DY Media Partners']",['Discotek Media'],Madhouse,Manga,"['Comedy', 'Slice of Life']",3 min. per ep.,G - All Ages,7.67,#1300,#2722,440
Binbougami ga!,TV,13,Finished Airing,"Jul 5, 2012 to Sep 27, 2012",Summer 2012,Thursdays at 01:50 (JST),"['TV Tokyo', 'Bandai Visual', 'Dentsu', 'Trinity Sound', 'Sony Music Entertainment', 'Studio Jack', 'Shueisha']",['Funimation'],Sunrise,Manga,"['Comedy', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,7.67,#1299,#1043,"1,223"
Baka to Test to Shoukanjuu Ni!,TV,13,Finished Airing,"Jul 8, 2011 to Sep 30, 2011",Summer 2011,Fridays at Unknown,"['Lantis', 'Media Factory', 'Enterbrain', 'Cospa', 'Kadokawa Contents Gate', 'TV Tokyo Music', 'PRA', 'T.O Entertainment', 'Hakuhodo DY Media Partners']",['Funimation'],SILVER LINK.,Light novel,"['Comedy', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.67,#1298,#635,"1,199"
Aoi Bungaku Series,TV,12,Finished Airing,"Oct 11, 2009 to Dec 27, 2009",Fall 2009,Unknown,"['Movic', 'Happinet Pictures', 'Hakuhodo DY Media Partners', 'RAY']",['add some'],Madhouse,,"['Drama', 'Suspense']",23 min. per ep.,R - 17+ (violence & profanity),7.67,#1297,#1098,"1,625"
Akebi-chan no Sailor-fuku,TV,12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",Winter 2022,Sundays at 00:30 (JST),"['Aniplex', 'Shueisha', 'BS Asahi']",['add some'],CloverWorks,Web manga,[],23 min. per ep.,PG-13 - Teens 13 or older,7.67,#1296,#1300,"1,141"
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,TV,6,Finished Airing,"Oct 7, 2017 to Nov 11, 2017",Fall 2017,Fridays at 01:55 (JST),"['Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Movic', 'KlockWorx', 'Kadokawa']","['Sentai Filmworks', 'Ponycan USA']",Studio Gokumi,Light novel,"['Drama', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,7.67,#1294,#3299,189
Soukou Kihei Votoms,TV,52,Finished Airing,"Apr 1, 1983 to Mar 23, 1984",Spring 1983,Unknown,['TV Tokyo'],"['Central Park Media', 'Maiden Japan']",Sunrise,,"['Action', 'Drama', 'Sci-Fi']",25 min. per ep.,R+ - Mild Nudity,7.67,#1292,#4385,373
